,id
0,G1309626200607191221
1,G1306262090811170014
2,G130625620097110700632
3,G130962620091025600936
4,G1306262008081800139
5,G1306262090380593901217
6,G138062620900908615600456
7,G138062620008071100109
8,L13006286200709090560915906
9,L13056256200810620006566
10,L13806262090712170035
11,G1305625620070981300409
12,G138062620071018156987
13,G1309625620097101726356
14,G1306262007111376563
15,G13095625620097062612138
16,G13806262003803010010
17,G1306262090802250012
18,G1306256200971024409138
19,G1305625620071225608709
20,G13062620070138056983898
21,G130625620038052529865
22,G13096262009709390200438
23,G130626200709125638391
24,G1306262003801010017
25,G1390626200801184906
26,G13906262008090926109
27,G130062562007009260013
28,G13065625620070970512198
